player_id,player_name,team_id,team_name,age_hit,gamesPlayed_hit,groundOuts_hit,airOuts_hit,runs_hit,doubles_hit,triples_hit,homeRuns_hit,strikeOuts_hit,baseOnBalls_hit,intentionalWalks_hit,hits_hit,hitByPitch_hit,avg_hit,atBats_hit,obp_hit,slg_hit,ops_hit,caughtStealing_hit,stolenBases_hit,stolenBasePercentage_hit,caughtStealingPercentage_hit,groundIntoDoublePlay_hit,numberOfPitches_hit,plateAppearances,totalBases_hit,rbi,leftOnBase,sacBunts_hit,sacFlies_hit,babip,groundOutsToAirouts_hit,catchersInterference_hit,atBatsPerHomeRun,age_pitch,gamesPlayed_pitch,gamesStarted,groundOuts_pitch,airOuts_pitch,runs_pitch,doubles_pitch,triples_pitch,homeRuns_pitch,strikeOuts_pitch,baseOnBalls_pitch,intentionalWalks_pitch,hits_pitch,hitByPitch_pitch,avg_pitch,atBats_pitch,obp_pitch,slg_pitch,ops_pitch,caughtStealing_pitch,stolenBases_pitch,stolenBasePercentage_pitch,caughtStealingPercentage_pitch,groundIntoDoublePlay_pitch,numberOfPitches_pitch,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases_pitch,groundOutsToAirouts_pitch,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference_pitch,sacBunts_pitch,sacFlies_pitch
445276,Kenley Jansen,108,Los Angeles Angels,37.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,0.0,.000,.000,.000,0.0,0.0,.---,.---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.---,-.--,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455117,Martín Maldonado,135,San Diego Padres,38.0,64.0,33.0,33.0,11.0,6.0,0.0,4.0,57.0,8.0,0.0,30.0,0.0,.204,147.0,.245,.327,.572,0.0,0.0,.---,.---,3.0,569.0,161.0,48.0,12.0,53.0,6.0,0.0,.302,1.00,0.0,36.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456781,Donovan Solano,140,Texas Rangers,37.0,71.0,43.0,44.0,10.0,4.0,1.0,3.0,40.0,8.0,0.0,41.0,3.0,.247,166.0,.291,.337,.628,0.0,0.0,.---,.---,9.0,704.0,179.0,56.0,21.0,89.0,0.0,2.0,.304,0.98,0.0,55.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457705,Andrew McCutchen,134,Pittsburgh Pirates,38.0,135.0,118.0,130.0,51.0,22.0,0.0,13.0,118.0,67.0,5.0,114.0,2.0,.239,477.0,.333,.367,.700,1.0,1.0,.500,.500,12.0,2267.0,551.0,175.0,57.0,201.0,0.0,3.0,.289,0.91,2.0,36.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457759,Justin Turner,112,Chicago Cubs,40.0,80.0,41.0,58.0,14.0,7.0,0.0,3.0,37.0,17.0,0.0,37.0,1.0,.219,169.0,.288,.314,.602,0.0,2.0,1.000,.000,3.0,801.0,191.0,53.0,18.0,67.0,0.0,4.0,.256,0.71,0.0,56.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467793,Carlos Santana,112,Chicago Cubs,39.0,124.0,100.0,137.0,49.0,11.0,0.0,11.0,91.0,52.0,1.0,91.0,3.0,.219,415.0,.308,.325,.633,0.0,7.0,1.000,.000,7.0,1978.0,474.0,135.0,54.0,182.0,0.0,4.0,.252,0.73,0.0,37.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493329,Yuli Gurriel,135,San Diego Padres,41.0,16.0,9.0,15.0,2.0,1.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,.111,36.0,.200,.139,.339,0.0,0.0,.---,.---,0.0,148.0,40.0,5.0,3.0,22.0,0.0,0.0,.143,0.60,0.0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500743,Miguel Rojas,119,Los Angeles Dodgers,36.0,114.0,83.0,88.0,35.0,18.0,0.0,7.0,46.0,24.0,1.0,76.0,0.0,.262,290.0,.318,.397,.715,0.0,5.0,1.000,.000,7.0,1166.0,317.0,115.0,27.0,125.0,3.0,0.0,.291,0.94,0.0,41.43,36.0,4.0,0.0,8.0,6.0,7.0,3.0,0.0,3.0,0.0,2.0,0.0,11.0,1.0,.440,25.0,.500,.920,1.420,0.0,0.0,.---,.---,1.0,69.0,12.60,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.60,28.0,15.0,4.0,0.0,0.0,43.0,.620,1.0,0.0,0.0,0.0,23.0,1.33,.---,13.80,4.0,0.00,0.00,3.60,19.80,12.60,5.40,0.0,0.0,0.0,0.0,0.0
502043,Kyle Gibson,110,Baltimore Orioles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,4.0,16.0,11.0,23.0,6.0,2.0,7.0,10.0,7.0,0.0,29.0,0.0,.453,64.0,.493,.938,1.431,0.0,0.0,.---,.---,0.0,280.0,16.78,12.1,0.0,3.0,0.0,0.0,0.0,0.0,23.0,2.92,73.0,37.0,4.0,0.0,0.0,164.0,.590,0.0,0.0,1.0,0.0,60.0,1.45,.000,22.70,0.0,1.43,7.30,5.11,21.16,16.78,5.11,0.0,0.0,0.0,0.0,2.0
502054,Tommy Pham,134,Pittsburgh Pirates,37.0,120.0,113.0,94.0,44.0,17.0,1.0,10.0,94.0,50.0,3.0,96.0,2.0,.245,392.0,.330,.370,.700,3.0,5.0,.625,.375,12.0,1706.0,449.0,145.0,52.0,168.0,0.0,5.0,.294,1.20,0.0,39.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
