team_id,team_name,league,division,hit_gamesPlayed,hit_groundOuts,hit_airOuts,hit_runs,hit_doubles,hit_triples,hit_homeRuns,hit_strikeOuts,hit_baseOnBalls,hit_intentionalWalks,hit_hits,hit_hitByPitch,hit_avg,hit_atBats,hit_obp,hit_slg,hit_ops,hit_caughtStealing,hit_stolenBases,hit_stolenBasePercentage,hit_caughtStealingPercentage,hit_groundIntoDoublePlay,hit_numberOfPitches,hit_plateAppearances,hit_totalBases,hit_rbi,hit_leftOnBase,hit_sacBunts,hit_sacFlies,hit_babip,hit_groundOutsToAirouts,hit_catchersInterference,hit_atBatsPerHomeRun,pitch_gamesPlayed,pitch_gamesStarted,pitch_groundOuts,pitch_airOuts,pitch_runs,pitch_doubles,pitch_triples,pitch_homeRuns,pitch_strikeOuts,pitch_baseOnBalls,pitch_intentionalWalks,pitch_hits,pitch_hitByPitch,pitch_avg,pitch_atBats,pitch_obp,pitch_slg,pitch_ops,pitch_caughtStealing,pitch_stolenBases,pitch_stolenBasePercentage,pitch_caughtStealingPercentage,pitch_groundIntoDoublePlay,pitch_numberOfPitches,pitch_era,pitch_inningsPitched,pitch_wins,pitch_losses,pitch_saves,pitch_saveOpportunities,pitch_holds,pitch_blownSaves,pitch_earnedRuns,pitch_whip,pitch_battersFaced,pitch_outs,pitch_gamesPitched,pitch_completeGames,pitch_shutouts,pitch_strikes,pitch_strikePercentage,pitch_hitBatsmen,pitch_balks,pitch_wildPitches,pitch_pickoffs,pitch_totalBases,pitch_groundOutsToAirouts,pitch_winPercentage,pitch_pitchesPerInning,pitch_gamesFinished,pitch_strikeoutWalkRatio,pitch_strikeoutsPer9Inn,pitch_walksPer9Inn,pitch_hitsPer9Inn,pitch_runsScoredPer9,pitch_homeRunsPer9,pitch_catchersInterference,pitch_sacBunts,pitch_sacFlies,field_gamesPlayed,field_gamesStarted,field_caughtStealing,field_stolenBases,field_stolenBasePercentage,field_caughtStealingPercentage,field_assists,field_putOuts,field_errors,field_chances,field_fielding,field_rangeFactorPerGame,field_rangeFactorPer9Inn,field_innings,field_games,field_passedBall,field_doublePlays,field_triplePlays,field_catchersInterference,field_wildPitches,field_throwingErrors,field_pickoffs
133,Athletics,American League,American League West,162,1403,1388,733,296,16,219,1406,502,14,1403,44,.253,5547,.318,.431,.749,28,80,.741,.259,117,23091,6151,2388,709,1106,18,35,.299,1.01,5,25.33,162,162,1192,1678,817,290,19,222,1323,570,26,1387,80,.252,5509,.328,.432,.760,29,131,.819,.181,94,24756,4.70,1437.2,76,86,35,55,67,20,750,1.36,6232,4313,162,0,11,15522,.630,80,7,29,6,2381,0.71,.469,17.22,162,2.32,8.28,3.57,8.68,5.11,1.39,2,16,55,162,162,29,131,.819,.181,1212,4313,88,5613,.984,34.10,3.84,12939.0,162,13,109,0,2,29,34,3
134,Pittsburgh Pirates,National League,National League Central,162,1390,1364,583,245,21,117,1422,530,19,1244,54,.231,5375,.305,.350,.655,36,115,.762,.238,123,23526,6008,1882,561,1127,13,32,.291,1.02,4,45.94,162,162,1326,1528,645,285,21,153,1314,473,18,1267,73,.236,5374,.304,.382,.686,31,105,.772,.228,101,23275,3.76,1430.2,71,91,36,62,76,26,598,1.22,5982,4292,162,1,19,15060,.650,73,2,46,5,2053,0.87,.438,16.27,161,2.78,8.27,2.98,7.97,4.06,0.96,1,18,43,162,162,31,105,.772,.228,1334,4292,77,5703,.986,34.73,3.93,12876.0,162,7,118,0,1,46,31,0
135,San Diego Padres,National League,National League West,162,1440,1547,702,254,18,152,1161,510,18,1369,58,.252,5424,.321,.390,.711,30,106,.779,.221,103,23491,6087,2115,663,1127,48,45,.293,0.93,2,35.68,162,162,1214,1542,621,202,16,178,1425,535,22,1197,65,.225,5314,.302,.370,.672,27,106,.797,.203,102,23471,3.63,1433.0,90,72,49,65,104,16,578,1.21,5981,4299,162,2,17,14995,.640,65,5,39,8,1965,0.79,.556,16.38,160,2.66,8.95,3.36,7.52,3.90,1.12,3,22,42,162,162,27,106,.797,.203,1234,4299,74,5607,.987,34.15,3.86,12897.0,162,14,117,0,3,39,40,1
136,Seattle Mariners,American League,American League West,162,1288,1486,766,234,9,238,1446,544,29,1345,89,.244,5502,.320,.420,.740,37,161,.813,.187,102,24369,6200,2311,734,1120,24,38,.287,0.87,2,23.12,162,162,1358,1489,694,249,16,192,1426,454,26,1331,74,.241,5530,.305,.396,.701,27,116,.811,.189,107,23623,3.87,1462.2,90,72,43,69,90,26,629,1.22,6134,4388,162,0,11,15418,.650,74,3,53,5,2188,0.91,.556,16.15,162,3.14,8.77,2.79,8.19,4.27,1.18,2,27,47,162,162,27,116,.811,.189,1355,4388,69,5812,.988,35.45,3.93,13164.0,162,1,118,0,2,53,34,0
137,San Francisco Giants,National League,National League West,162,1255,1553,705,239,28,173,1380,556,14,1261,66,.235,5375,.311,.386,.697,24,68,.739,.261,103,23891,6072,2075,672,1076,22,52,.281,0.81,1,31.07,162,162,1456,1352,684,293,22,143,1358,506,18,1353,69,.248,5450,.318,.389,.707,38,92,.708,.292,109,23556,3.82,1433.2,81,81,41,63,89,22,609,1.30,6095,4301,162,1,7,15173,.640,69,8,51,11,2119,1.08,.500,16.43,161,2.68,8.52,3.18,8.49,4.29,0.90,1,28,41,162,162,38,92,.708,.292,1523,4301,96,5920,.984,35.95,4.06,12903.0,162,9,134,0,1,51,48,1
138,St. Louis Cardinals,National League,National League Central,162,1275,1571,689,264,9,148,1321,478,17,1331,88,.245,5433,.314,.379,.693,27,89,.767,.233,115,23489,6069,2057,653,1092,25,40,.295,0.81,5,36.71,162,162,1530,1433,754,274,36,170,1209,461,17,1434,48,.259,5528,.319,.414,.733,35,121,.776,.224,106,23052,4.29,1432.0,78,84,42,65,92,23,682,1.32,6120,4296,162,2,13,14789,.640,48,4,52,9,2290,1.07,.481,16.10,160,2.62,7.60,2.90,9.01,4.74,1.07,5,25,53,162,162,35,121,.776,.224,1557,4296,80,5933,.987,36.13,4.09,12888.0,162,15,124,0,5,52,46,3
139,Tampa Bay Rays,American League,American League East,162,1402,1356,714,242,16,182,1397,468,10,1374,46,.251,5470,.313,.401,.714,48,194,.802,.198,109,23513,6045,2194,680,1042,16,43,.303,1.03,2,30.06,162,162,1330,1396,683,225,14,205,1416,474,11,1273,67,.237,5369,.305,.399,.704,40,152,.792,.208,128,22967,3.94,1431.1,77,85,35,64,87,29,627,1.22,5960,4294,162,1,11,14960,.650,67,6,33,15,2141,0.95,.475,16.05,161,2.99,8.90,2.98,8.00,4.29,1.29,3,13,34,162,162,40,152,.792,.208,1416,4294,81,5791,.986,35.25,3.99,12882.0,162,4,147,0,3,33,32,0
140,Texas Rangers,American League,American League West,162,1284,1608,684,245,15,175,1327,486,19,1275,63,.234,5443,.302,.381,.683,33,134,.802,.198,92,23533,6046,2075,658,1066,11,40,.276,0.80,3,31.10,162,162,1322,1527,605,229,16,172,1344,463,24,1235,50,.230,5373,.295,.374,.669,26,127,.830,.170,109,22907,3.47,1443.0,81,81,37,66,81,29,557,1.18,5942,4329,162,2,14,14845,.650,50,4,43,9,2012,0.87,.500,15.87,160,2.90,8.38,2.89,7.70,3.77,1.07,1,19,36,162,162,26,127,.830,.170,1364,4329,51,5744,.991,35.14,3.95,12987.0,162,8,122,0,1,43,27,0
141,Toronto Blue Jays,American League,American League East,162,1432,1595,798,294,13,191,1099,520,25,1461,65,.265,5507,.333,.427,.760,25,77,.755,.245,133,23366,6180,2354,771,1121,35,45,.298,0.90,8,28.83,162,162,1235,1520,721,253,14,209,1430,517,25,1313,72,.241,5446,.313,.408,.721,34,110,.764,.236,97,23711,4.19,1438.0,94,68,42,65,96,23,669,1.27,6089,4314,162,2,8,15166,.640,72,9,32,8,2221,0.81,.580,16.49,160,2.77,8.95,3.24,8.22,4.51,1.31,2,13,39,162,162,34,110,.764,.236,1272,4314,86,5672,.985,34.48,3.88,12942.0,162,4,118,0,2,32,44,3
142,Minnesota Twins,American League,American League Central,162,1303,1505,678,249,20,191,1372,495,10,1295,88,.238,5432,.310,.397,.707,34,114,.770,.230,105,23634,6059,2157,643,1089,9,34,.283,0.87,1,28.44,162,162,1197,1607,773,275,13,194,1372,459,19,1411,69,.256,5506,.318,.417,.735,38,134,.779,.221,80,23884,4.55,1426.2,70,92,28,53,95,25,721,1.31,6116,4280,162,1,10,15439,.650,69,10,47,12,2294,0.74,.432,16.74,161,2.99,8.66,2.90,8.90,4.88,1.22,1,21,60,162,162,38,134,.779,.221,1210,4280,85,5575,.985,33.89,3.85,12840.0,162,5,98,0,1,47,49,4
